00	rryyWWss	00 - 00 - 00 - 00	00	00	00	00	White
01	rryyWWSs	00 - 00 - 00 - 01	00	00	00	01	White
03	rryyWWSS	00 - 00 - 00 - 11	00	00	00	11	White
04	rryyWwss	00 - 00 - 01 - 00	00	00	01	00	White
05	rryyWwSs	00 - 00 - 01 - 01	00	00	01	01	White
07	rryyWwSS	00 - 00 - 01 - 11	00	00	01	11	White
0c	rryywwss	00 - 00 - 11 - 00	00	00	11	00	Purple
0d	rryywwSs	00 - 00 - 11 - 01	00	00	11	01	Purple
0f	rryywwSS	00 - 00 - 11 - 11	00	00	11	11	Purple
10	rrYyWWss	00 - 01 - 00 - 00	00	01	00	00	Yellow
11	rrYyWWSs	00 - 01 - 00 - 01	00	01	00	01	Yellow
13	rrYyWWSS	00 - 01 - 00 - 11	00	01	00	11	Yellow
14	rrYyWwss	00 - 01 - 01 - 00	00	01	01	00	White
15	rrYyWwSs	00 - 01 - 01 - 01	00	01	01	01	White
17	rrYyWwSS	00 - 01 - 01 - 11	00	01	01	11	White
1c	rrYywwss	00 - 01 - 11 - 00	00	01	11	00	Purple
1d	rrYywwSs	00 - 01 - 11 - 01	00	01	11	01	Purple
1f	rrYywwSS	00 - 01 - 11 - 11	00	01	11	11	Purple
30	rrYYWWss	00 - 11 - 00 - 00	00	11	00	00	Yellow
31	rrYYWWSs	00 - 11 - 00 - 01	00	11	00	01	Yellow
33	rrYYWWSS	00 - 11 - 00 - 11	00	11	00	11	Yellow
34	rrYYWwss	00 - 11 - 01 - 00	00	11	01	00	Yellow
35	rrYYWwSs	00 - 11 - 01 - 01	00	11	01	01	Yellow
37	rrYYWwSS	00 - 11 - 01 - 11	00	11	01	11	Yellow
3c	rrYYwwss	00 - 11 - 11 - 00	00	11	11	00	White
3d	rrYYwwSs	00 - 11 - 11 - 01	00	11	11	01	White
3f	rrYYwwSS	00 - 11 - 11 - 11	00	11	11	11	White
40	RryyWWss	01 - 00 - 00 - 00	01	00	00	00	Red
41	RryyWWSs	01 - 00 - 00 - 01	01	00	00	01	Pink
43	RryyWWSS	01 - 00 - 00 - 11	01	00	00	11	White
44	RryyWwss	01 - 00 - 01 - 00	01	00	01	00	Red
45	RryyWwSs	01 - 00 - 01 - 01	01	00	01	01	Pink
47	RryyWwSS	01 - 00 - 01 - 11	01	00	01	11	White
4c	Rryywwss	01 - 00 - 11 - 00	01	00	11	00	Red
4d	RryywwSs	01 - 00 - 11 - 01	01	00	11	01	Pink
4f	RryywwSS	01 - 00 - 11 - 11	01	00	11	11	Purple
50	RrYyWWss	01 - 01 - 00 - 00	01	01	00	00	Orange
51	RrYyWWSs	01 - 01 - 00 - 01	01	01	00	01	Yellow
53	RrYyWWSS	01 - 01 - 00 - 11	01	01	00	11	Yellow
54	RrYyWwss	01 - 01 - 01 - 00	01	01	01	00	Red
55	RrYyWwSs	01 - 01 - 01 - 01	01	01	01	01	Pink
57	RrYyWwSS	01 - 01 - 01 - 11	01	01	01	11	White
5c	RrYywwss	01 - 01 - 11 - 00	01	01	11	00	Red
5d	RrYywwSs	01 - 01 - 11 - 01	01	01	11	01	Pink
5f	RrYywwSS	01 - 01 - 11 - 11	01	01	11	11	Purple
70	RrYYWWss	01 - 11 - 00 - 00	01	11	00	00	Orange
71	RrYYWWSs	01 - 11 - 00 - 01	01	11	00	01	Yellow
73	RrYYWWSS	01 - 11 - 00 - 11	01	11	00	11	Yellow
74	RrYYWwss	01 - 11 - 01 - 00	01	11	01	00	Orange
75	RrYYWwSs	01 - 11 - 01 - 01	01	11	01	01	Yellow
77	RrYYWwSS	01 - 11 - 01 - 11	01	11	01	11	Yellow
7c	RrYYwwss	01 - 11 - 11 - 00	01	11	11	00	Red
7d	RrYYwwSs	01 - 11 - 11 - 01	01	11	11	01	Pink
7f	RrYYwwSS	01 - 11 - 11 - 11	01	11	11	11	White
c0	RRyyWWss	11 - 00 - 00 - 00	11	00	00	00	Black
c1	RRyyWWSs	11 - 00 - 00 - 01	11	00	00	01	Red
c3	RRyyWWSS	11 - 00 - 00 - 11	11	00	00	11	Pink
c4	RRyyWwss	11 - 00 - 01 - 00	11	00	01	00	Black
c5	RRyyWwSs	11 - 00 - 01 - 01	11	00	01	01	Red
c7	RRyyWwSS	11 - 00 - 01 - 11	11	00	01	11	Pink
cc	RRyywwss	11 - 00 - 11 - 00	11	00	11	00	Black
cd	RRyywwSs	11 - 00 - 11 - 01	11	00	11	01	Red
cf	RRyywwSS	11 - 00 - 11 - 11	11	00	11	11	Pink
d0	RRYyWWss	11 - 01 - 00 - 00	11	01	00	00	Orange
