00	rryyWW	00 - 00 - 00	00	00	00	White
01	rryyWw	00 - 00 - 01	00	00	01	White
03	rryyww	00 - 00 - 11	00	00	11	Purple
04	rrYyWW	00 - 01 - 00	00	01	00	Yellow
05	rrYyWw	00 - 01 - 01	00	01	01	Yellow
07	rrYyww	00 - 01 - 11	00	01	11	White
0c	rrYYWW	00 - 11 - 00	00	11	00	Yellow
0d	rrYYWw	00 - 11 - 01	00	11	01	Yellow
0f	rrYYww	00 - 11 - 11	00	11	11	Yellow
10	RryyWW	01 - 00 - 00	01	00	00	Pink
11	RryyWw	01 - 00 - 01	01	00	01	Pink
13	Rryyww	01 - 00 - 11	01	00	11	Pink
14	RrYyWW	01 - 01 - 00	01	01	00	Yellow
15	RrYyWw	01 - 01 - 01	01	01	01	Red
17	RrYyww	01 - 01 - 11	01	01	11	Pink
1c	RrYYWW	01 - 11 - 00	01	11	00	Purple
1d	RrYYWw	01 - 11 - 01	01	11	01	Purple
1f	RrYYww	01 - 11 - 11	01	11	11	Purple
30	RRyyWW	11 - 00 - 00	11	00	00	Red
31	RRyyWw	11 - 00 - 01	11	00	01	Red
33	RRyyww	11 - 00 - 11	11	00	11	Red
34	RRYyWW	11 - 01 - 00	11	01	00	Purple
35	RRYyWw	11 - 01 - 01	11	01	01	Purple
37	RRYyww	11 - 01 - 11	11	01	11	Red
3c	RRYYWW	11 - 11 - 00	11	11	00	Green
3d	RRYYWw	11 - 11 - 01	11	11	01	Green
3f	RRYYww	11 - 11 - 11	11	11	11	Red
